Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
10/1/2024,4400005015,BELVITA,BELVITA BREAKFAST TOASTED COCONUT 5-1.76 oz,$4.79,$3.00,37.41%,8,7,4,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/25/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,4,4,3,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/26/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/27/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,6,6,5,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/28/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/29/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,3,3,1,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/30/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,7,6,4,GROCERY FOOD,GALLETAS,GALLETAS DULCES
10/1/2024,7121400800,BIMBO,BIMBO 2 X 2 CHOCO CHIPS 8 oz,$2.19,$1.53,29.99%,6,6,3,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/25/2024,7121400910,BIMBO,BIMBO 2 X 2 CHOCOLATE 9.28 oz,$2.19,$1.53,29.99%,1,1,,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/26/2024,7121400910,BIMBO,BIMBO 2 X 2 CHOCOLATE 9.28 oz,$2.19,$1.53,29.99%,3,3,2,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/27/2024,7121400910,BIMBO,BIMBO 2 X 2 CHOCOLATE 9.28 oz,$2.19,$1.53,29.99%,1,1,1,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/30/2024,7121400910,BIMBO,BIMBO 2 X 2 CHOCOLATE 9.28 oz,$2.19,$1.53,29.99%,1,1,,GROCERY FOOD,GALLETAS,GALLETAS DULCES
10/1/2024,7121400910,BIMBO,BIMBO 2 X 2 CHOCOLATE 9.28 oz,$2.19,$1.53,29.99%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/25/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,9,8,6,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/26/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,4,4,1,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/27/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,9,8,7,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/28/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,8,6,6,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/29/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,5,5,5,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/30/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,6,5,4,GROCERY FOOD,GALLETAS,GALLETAS DULCES
10/1/2024,7121400804,BIMBO,BIMBO 2 X 2 COCO 8 oz,$2.19,$1.53,29.99%,12,12,8,GROCERY FOOD,GALLETAS,GALLETAS DULCES
9/25/2024,7121400672,BIMBO,BIMBO 2 X 2 DUPLEX 9.28 oz,$2.19,$1.53,29.99%,9,7,2,GROCERY FOOD,GALLETAS,GALLETAS DULCES
